Id,StarbucksId,Name,BrandName,StoreNumber,PhoneNumber,OwnershipType,Street1,Street2,Street3,City,CountrySubdivisionCode,CountryCode,PostalCode,Longitude,Latitude,TimezoneOffset,TimezoneId,TimezoneOlsonId,FirstSeen,LastSeen
9ad401e0-e3f1-4179-872b-1ac0ce4584a6,14085,Camden & Curtner - Campbell,Starbucks,6931-85346,408-371-1332,CO,1228 Camden Avenue,,,Campbell,CA,US,950086713,-121.95,37.27,-480,Pacific Standard Time,GMT-08:00 America/Los_Angeles,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
3af94b7c-700d-427c-9130-a60429c2ba4d,13511,Water & Whitehall Streets,Starbucks,7398-1655,212-785-1082,CO,2 Water St,,3 New York Plaza,New York,NY,US,100042480,-74.01,40.7,-300,Eastern Standard Time,GMT-05:00 America/New_York,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
7ddcddc3-32dc-4cdc-b2fd-d603c1cb2ad4,1007996,Petronas Service Stat - Federal Hwy,Starbucks,18453-173544,,LS,"KM 18.5, Federal Highway - KL Bound",,,Kuala Lumpur,14,MY,,101.58,3.08,480,Singapore Standard Time,GMT+08:00 Asia/Kuala_Lumpur,11/15/2016 12:00:00 AM,2/3/2017 12:00:00 AM
73ce3835-ba94-4d9f-a41e-a75f5acb540b,1011513,武汉国贸新世界店,Starbucks,26141-243325,,CO,江汉区,国贸新世界商场一层,建设大道568号,武汉市,42,CN,430000,114.27,30.59,480,China Standard Time,GMT+08:00 Asia/Beijing,8/21/2015 12:00:00 AM,2/3/2017 12:00:00 AM
17b0801d-ade4-4ba3-99d0-add5e581566a,1014319,佛山岭南站1店,Starbucks,47478-254284,,CO,禅城区,负一层020铺,祖庙路29号,佛山市,44,CN,528000,113.11,23.03,480,China Standard Time,GMT+08:00 Asia/Beijing,8/16/2016 12:00:00 AM,2/3/2017 12:00:00 AM
62924301-33e9-4762-bb84-bc7dceded6fe,5592,العروبة,Starbucks,32477-133132,0096614151968,LS,شارع العروبة,,,الرياض,01,SA,,46.69,24.72,180,Arab Standard Time,GMT+03:00 Asia/Riyadh,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
d4dc6d22-87f6-425b-ade1-cc433dd1ce6b,156,Defensores,Starbucks,3633-142525,4701-9317,LS,Av. Comodor Martin Rivadavia 1560,esq. Avenida del Libertador,,Buenos Aires,C,AR,C1429DBR,-58.46,-34.54,-180,Argentina Standard Time,GMT-03:00 America/Argentina/Bu,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
83adc037-8e8d-456c-9c76-5726096f808d,3667,Mihama American Village,Starbucks,30377-78761,,JV,16-2 Mihama,,,Chatan-cho,47,JP,904-0115,127.76,26.32,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
20f4031a-e386-4c42-afa5-af6b6ce5d0ed,6805,Cy Ave & SW Wyoming Blvd - Casper,Starbucks,11862-103659,307-234-6550,CO,4003 Cy Ave,,,Casper,WY,US,826044238,-106.37,42.82,-420,Mountain Standard Time,GMT-07:00 America/Denver,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
81c8b0b0-25e1-4cd3-8edc-9b6045bc8061,2606,Princes Street W1,Starbucks,12058-10406,02074958370,CO,22-23 Princes St,,,London,ENG,GB,W1B 2LY,-0.14,51.51,0,GMT Standard Time,GMT+0:00 Europe/London,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
c7a5a1e9-1216-4cdd-a527-e29bbb15a280,8970,La Brea & San Vicente,Starbucks,5698-2402,323-934-2408,CO,1258 South La Brea Ave,,,Los Angeles,CA,US,900191628,-118.34,34.05,-480,Pacific Standard Time,GMT-08:00 America/Los_Angeles,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
ceacb83d-ac23-4c3d-a0fa-4495d01377f7,69607,Barranco,Starbucks,15894-165804,,LS,Av. Pedro de Osma 100 -102,Barranco,,Lima,LIM,PE,51,-77.02,-12.15,-300,SA Pacific Standard Time,GMT-05:00 America/Lima,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
69d5c49b-c8b0-4eb6-a97b-9f4361fced35,1012897,Chesterfield - Mansfield Road DT,Starbucks,24411-237886,01246857952,FR,"Heath, Mansfield Road",,,Chesterfield,ENG,GB,S44 5SF,-1.34,53.2,0,GMT Standard Time,GMT+0:00 Europe/London,12/1/2015 12:00:00 AM,2/3/2017 12:00:00 AM
62ce3c0c-3095-4abc-8cfb-8be882b3cca2,1014415,Akaretler,Starbucks,29827-255549,,LS,Sair Nedim Cad. No 5,Besiktas Istanbul,,Istanbul,34,TR,,29.0,41.04,120,Turkey Standard Time,GMT+2:00 Europe/Istanbul,5/10/2016 12:00:00 AM,2/3/2017 12:00:00 AM
66feb47a-f942-4886-99df-e21e98346261,7666,Northern Kentucky U Student Union,Starbucks,75308-100101,,LS,20 Kenton Drive,,,Highland Heights,KY,US,410761919,-84.47,39.03,-300,Eastern Standard Time,GMT-05:00 America/New_York,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
4a6eb265-d7b4-4f99-8894-c3800f3e2cd1,1008334,Bade Taota,Starbucks,21984-216704,,JV,"Jinhe Rd.,",,,Bade City,TAO,TW,33461,121.3,24.96,480,Taipei Standard Time,GMT+08:00 Asia/Taipei,2/10/2015 12:00:00 AM,2/3/2017 12:00:00 AM
88d49c99-6cd3-4469-8609-1ee3964a395d,7379,Mission & Las Palmas,Starbucks,10541-100590,510-445-0729,CO,39981 Mission Blvd.,,,Fremont,CA,US,945393627,-121.95,37.56,-480,Pacific Standard Time,GMT-08:00 America/Los_Angeles,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
78253228-1f1d-44fa-98d6-803bcc7ae9b5,11535,Hwy 71B & 14th St,Starbucks,8852-94767,479-254-0943,CO,1401 S Walton Blvd,11,,Bentonville,AR,US,727126626,-94.21,36.36,-360,Central Standard Time,GMT-06:00 America/Chicago,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
4191074d-c15d-4140-9f16-c7f4e8ae1be8,3484,AEON MALL Fukuoka,Starbucks,30546-94563,,JV,192-1 Oinoki Sakado,,,Kasuya-machi,40,JP,811-2303,130.48,33.6,540,Tokyo Standard Time,GMT+09:00 Asia/Tokyo,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
9ae550bc-4d6d-40b0-820a-79c82f5fdd26,1005526,Busan Songjeong Beach,Starbucks,20532-206344,,JV,"297-37,Songjeong-dong",Haeundae-gu,,Busan,26,KR,612-040,129.2,35.2,540,Korea Standard Time,GMT+09:00 Asia/Seoul,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
d4d76483-2e8b-4f0c-b989-cf3b83f6a5c9,1918,昆山人民路店,Starbucks,31123-104243,0512-57888191,JV,昆山,昆山宾馆二号楼1F,人民路99号,昆山市,32,CN,,120.96,31.38,480,China Standard Time,GMT+08:00 Asia/Beijing,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
a4cb7559-bbc0-404d-817d-a49b9b4ccdd4,9573,Plainfield-127th & Route 59,Starbucks,8833-85684,815-609-3137,CO,12640 S. Route 59,Unit #600,Kensington North Shopping Center,Plainfield,IL,US,60544,-88.2,41.65,-360,Central Standard Time,GMT-06:00 America/Chicago,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
0d7b587b-3f04-42e7-9a58-2e8a8548fdc5,9294,Wabash Landing,Starbucks,2478-25967,765-746-1674,CO,342 E. State Street,,Wabash Landing,West Lafayette,IN,US,479063225,-86.9,40.42,-300,US Eastern Standard Time,GMT-05:00 America/Indianapolis,12/8/2013 5:41:59 PM,2/3/2017 12:00:00 AM
